"","carat","cut","color","clarity","depth","table","price","x","y","z"
"8576",1,"Fair","G","VS2",69.8,54,4435,6.03,5.94,4.18
"9092",0.91,"Good","E","SI1",60.2,60,4523,6.17,6.26,3.74
"26478",2,"Very Good","E","SI2",62.9,56,16064,7.94,8,5.01
"34477",0.38,"Ideal","E","VS2",60.1,56,866,4.69,4.72,2.83
"12016",0.83,"Ideal","E","VS1",62.2,56,5151,5.99,6.03,3.74
"38000",0.43,"Ideal","G","VS1",61.1,56,1008,4.9,4.86,2.98
"32762",0.34,"Premium","D","SI1",59.7,59,803,4.57,4.54,2.72
"9025",1.04,"Ideal","H","SI1",62.7,54,4515,6.51,6.47,4.07
"2198",0.9,"Very Good","E","SI2",59.5,61,3139,6.24,6.3,3.73
"18001",1.01,"Good","G","VVS1",63.1,59,7279,6.33,6.42,4.02
"3577",0.71,"Very Good","D","VS1",62,61,3420,5.71,5.74,3.55
"8924",1,"Good","I","SI1",61,60,4496,6.36,6.39,3.89
"11989",1.06,"Ideal","H","SI1",62.2,57,5143,6.56,6.49,4.06
"52871",0.73,"Ideal","E","SI2",60.9,57,2581,5.83,5.8,3.54
"32114",0.25,"Ideal","E","VVS1",62.3,53,783,4.08,4.11,2.55
"43690",0.5,"Very Good","D","SI1",58.5,60,1436,5.13,5.19,3.02
"13207",1.11,"Ideal","H","SI1",61.6,56,5456,6.69,6.65,4.11
"17050",0.3,"Ideal","F","VS1",61.8,55,612,4.31,4.33,2.67
"6417",0.71,"Ideal","E","VVS2",62,53.9,4042,5.73,5.77,3.57
"8105",1.15,"Premium","J","SI1",62.3,55,4347,6.76,6.66,4.18
"30396",0.32,"Ideal","G","VVS2",60.6,57,730,4.41,4.43,2.68
"29724",0.31,"Premium","H","VVS1",61.8,58,707,4.3,4.34,2.67
"24744",1.91,"Premium","I","SI1",59.6,60,13092,8.02,7.98,4.77
"9805",1.03,"Very Good","E","SI2",62.1,59,4668,6.43,6.46,4
"53229",0.71,"Good","D","SI1",64,56,2641,5.59,5.63,3.59
"1212",0.81,"Ideal","E","SI2",60.2,57,2938,6.1,6.06,3.66
"46289",0.56,"Ideal","G","SI1",61.6,59,1755,5.27,5.32,3.26
"20766",1.21,"Premium","G","VVS1",60.1,61,9003,6.92,6.85,4.14
"12988",1,"Ideal","E","SI1",62.3,55,5396,6.41,6.34,3.97
"4428",1,"Good","J","SI1",58.7,62,3614,6.47,6.51,3.81
"26483",1.75,"Very Good","G","VS2",62.8,59,16073,7.53,7.62,4.76
"28258",0.33,"Premium","F","VS2",62.2,58,666,4.43,4.44,2.76
"1041",0.8,"Ideal","I","VS1",62.2,58,2906,5.92,5.95,3.69
"6757",1.06,"Ideal","I","SI2",61.9,59,4103,6.47,6.52,4.02
"12922",1,"Good","E","VS2",64,58,5376,6.24,6.2,3.99
"20517",1.54,"Ideal","J","VS1",62.2,59,8848,7.34,7.38,4.58
"1493",0.72,"Very Good","E","VS2",62.9,57,2990,5.68,5.73,3.59
"16126",1,"Good","E","VS2",60.6,65,6445,6.29,6.36,3.83
"41385",0.42,"Ideal","F","VVS2",62.1,55,1221,4.81,4.79,2.98
"10800",1,"Good","H","VS2",63.7,59,4861,6.3,6.26,4
"36794",0.34,"Premium","E","VS2",61.1,60,956,4.48,4.45,2.73
"14312",1.24,"Ideal","I","SI1",62.1,56,5797,6.84,6.88,4.26
"34438",0.46,"Premium","I","SI2",61,58,863,5.03,4.97,3.05
"27966",0.3,"Ideal","E","VS2",62.6,54,658,4.28,4.31,2.69
"23245",1.31,"Premium","G","VVS2",59.6,61,11255,7.23,7.14,4.28
"48332",0.7,"Very Good","J","SI1",61.1,60,1959,5.66,5.7,3.47
"8170",1.07,"Premium","E","SI2",60.5,59,4362,6.67,6.59,4.01
"34993",0.35,"Ideal","E","VVS2",61.3,56,881,4.54,4.6,2.8
"44157",0.53,"Ideal","E","SI1",61.4,56,1564,5.2,5.26,3.21
"32204",0.35,"Premium","E","SI1",62.7,57,788,4.52,4.47,2.82
"49686",0.56,"Ideal","E","VS1",61.9,57,2145,5.31,5.29,3.28
"30546",0.31,"Ideal","D","VS2",62.7,57,734,4.3,4.34,2.71
"7053",0.33,"Premium","G","VS2",61.4,60,579,4.41,4.45,2.72
"4260",0.9,"Premium","I","VS1",62.2,58,3580,6.18,6.13,3.83
"37063",0.43,"Ideal","F","VS2",61.1,56,968,4.91,4.88,2.99
"53575",0.63,"Ideal","E","VVS2",61.6,57,2697,5.52,5.49,3.39
"4453",0.9,"Premium","F","SI2",61.4,58,3619,6.13,6.19,3.78
"16083",1,"Ideal","F","VS2",61.7,58,6424,6.37,6.43,3.95
"1974",0.92,"Premium","J","VS2",60.9,62,3091,6.31,6.26,3.83
"22082",1.22,"Ideal","F","VS1",62.3,57,10100,6.83,6.79,4.24
"30585",0.31,"Ideal","D","VS2",61.5,56,734,4.34,4.37,2.68
"81",0.26,"Very Good","E","VVS1",63.4,59,554,4,4.04,2.55
"11220",1,"Very Good","F","SI1",59.4,60,4961,6.47,6.52,3.86
"3455",0.74,"Very Good","G","VS1",60.9,59,3389,5.9,5.86,3.58
"24269",1.36,"Ideal","F","VVS2",61.6,56,12494,7.08,7.17,4.39
"49947",0.63,"Good","F","VS1",61.6,60.7,2188,5.46,5.52,3.38
"43490",0.58,"Ideal","H","SI1",60.2,57,1421,5.47,5.43,3.28
"35661",0.31,"Good","G","VVS2",63.8,56,907,4.28,4.24,2.72
"48034",0.5,"Ideal","D","VS1",61.6,57,1923,5.09,5.13,3.15
"36522",0.42,"Very Good","G","SI1",63.2,57,945,4.79,4.77,3.02
"29158",0.38,"Ideal","E","SI1",61.8,53.8,693,4.63,4.67,2.88
"10092",1.02,"Very Good","D","SI2",62.7,59,4712,6.36,6.44,4.01
"30265",0.32,"Ideal","F","VS1",61.3,55,725,4.4,4.44,2.71
"48515",0.58,"Ideal","G","VS1",62.6,54,1984,5.34,5.3,3.33
"9788",1.01,"Ideal","E","SI2",62.2,54,4666,6.39,6.43,3.99
"47801",0.71,"Ideal","J","SI2",61.3,56,1901,5.73,5.78,3.53
"34877",0.3,"Very Good","G","VVS2",63.1,56,878,4.23,4.2,2.66
"50994",0.31,"Very Good","E","SI1",62.8,57,544,4.32,4.34,2.72
"22599",1.5,"Very Good","H","VS1",63.4,59,10652,7.13,7.2,4.54
"26040",0.32,"Ideal","F","VS2",61.3,56,645,4.41,4.43,2.71
"24111",1.5,"Ideal","E","SI1",60.4,59,12265,7.38,7.43,4.47
"42789",0.54,"Ideal","G","SI1",62.4,56,1350,5.2,5.22,3.25
"9277",1.01,"Very Good","D","SI2",61.4,60,4564,6.33,6.38,3.9
"48441",0.51,"Premium","G","VVS2",61.5,56,1974,5.15,5.12,3.16
"44976",0.32,"Ideal","I","VS1",60.9,57,523,4.43,4.47,2.71
"34716",0.37,"Premium","D","SI1",61.9,59,874,4.65,4.62,2.87
"2495",0.9,"Very Good","J","VS1",62.9,56,3197,6.13,6.18,3.87
"15509",1.06,"Good","G","VS2",63.1,59,6212,6.45,6.48,4.08
"42804",0.52,"Ideal","G","SI1",62.2,54,1352,5.18,5.2,3.23
"30948",0.23,"Very Good","D","SI2",63.5,57,449,3.87,3.85,2.45
"50640",0.23,"Very Good","F","VS1",61.9,58,402,3.9,4.02,2.45
"33854",0.3,"Premium","E","VS2",62.1,58,844,4.31,4.29,2.67
"11938",1.05,"Ideal","H","SI1",62.4,57,5128,6.49,6.52,4.06
"48741",0.72,"Very Good","G","SI2",62.1,59,2015,5.66,5.73,3.54
"29638",0.3,"Very Good","I","VS1",61.8,63,442,4.26,4.29,2.64
"4147",1.07,"Premium","G","SI2",62.2,58,3545,6.56,6.49,4.06
"28234",0.33,"Ideal","F","VS2",61.6,56,666,4.44,4.46,2.74
"35584",0.35,"Ideal","F","VS2",62.6,56,906,4.52,4.49,2.82
"38252",0.31,"Very Good","J","VS2",62.3,60,380,4.29,4.34,2.69
"10023",0.31,"Ideal","I","SI1",60.9,57,414,4.36,4.41,2.67
"8612",0.84,"Very Good","D","VS1",60.6,57,4443,6.06,6.15,3.7
"12878",1.01,"Premium","E","SI1",58.2,59,5366,6.59,6.54,3.82
"41591",0.31,"Premium","H","SI2",59.5,59,390,4.39,4.45,2.63
"3707",1.01,"Ideal","E","I1",62,57,3450,6.41,6.37,3.96
"32054",0.35,"Ideal","D","SI1",61.1,56,780,4.55,4.59,2.79
"53194",0.7,"Very Good","G","VS2",62.2,61,2633,5.54,5.59,3.46
"36141",0.33,"Ideal","E","VS2",61,57,928,4.46,4.43,2.71
"15582",1.22,"Good","H","SI2",63.5,56,6250,6.84,6.77,4.32
"40437",0.5,"Premium","G","SI1",63,56,1138,5.07,5.02,3.18
"5986",0.71,"Premium","D","VVS1",58.8,58,3952,5.89,5.81,3.44
"23196",2,"Fair","H","SI2",55.3,65,11202,8.42,8.35,4.64
"3490",0.9,"Good","I","VS1",62.8,57,3398,6.07,6.16,3.84
"30339",0.34,"Premium","F","SI1",59.3,60,727,4.58,4.52,2.7
"2528",0.7,"Very Good","F","VVS2",60.5,60,3205,5.7,5.73,3.46
"49218",1.06,"Very Good","G","I1",60.7,63,2080,6.59,6.56,3.99
"8616",0.8,"Good","E","VS1",60.2,54,4444,6.04,6.01,3.63
"19206",1.51,"Very Good","J","VS1",63.7,55,7953,7.16,7.28,4.6
"21204",1.23,"Very Good","F","VS1",60.6,58,9346,6.88,6.95,4.19
"4602",0.96,"Fair","H","VS2",68.8,56,3658,6.11,5.98,4.16
"7506",1.05,"Very Good","G","SI2",62.5,60,4241,6.45,6.5,4.05
"9225",1.1,"Premium","H","SI2",62.6,57,4558,6.6,6.56,4.12
"20402",1.31,"Premium","E","SI1",62.4,58,8767,7.03,6.95,4.36
"8445",1.01,"Very Good","I","SI1",63.5,59,4412,6.36,6.31,4.02
"53114",0.7,"Ideal","I","VS1",61.9,56,2616,5.69,5.72,3.53
"43647",0.6,"Premium","H","SI1",62,56,1433,5.44,5.4,3.36
"14917",1.23,"Ideal","G","SI2",58.8,60,6005,7.01,7.08,4.14
"4089",0.9,"Very Good","D","SI2",60.6,61,3534,6.14,6.2,3.74
"23316",1.5,"Premium","H","VS2",61.8,59,11360,7.3,7.35,4.53
"48828",0.71,"Premium","H","SI2",62.4,56,2028,5.7,5.64,3.54
"39462",0.53,"Ideal","F","SI2",62.4,54,1078,5.19,5.22,3.25
"38838",0.46,"Very Good","G","VS1",62.8,57,1049,4.92,4.83,3.06
"34689",0.3,"Ideal","F","IF",61.3,55,873,4.32,4.36,2.66
"42743",0.51,"Good","E","SI1",63.9,56,1343,5.07,5.11,3.25
"30889",0.33,"Premium","E","SI1",60.6,60,743,4.44,4.41,2.68
"40416",0.63,"Good","J","SI1",59.9,64,1134,5.63,5.58,3.36
"23392",0.36,"Very Good","E","SI1",62.4,55,631,4.52,4.55,2.83
"18163",1.51,"Ideal","I","SI2",61.2,58,7362,7.33,7.42,4.51
"17860",2,"Ideal","H","I1",62.5,57,7204,8.05,7.98,5.01
"12769",1.07,"Premium","H","VS2",62.1,59,5327,6.52,6.56,4.06
"43037",0.55,"Ideal","I","VS2",61.8,55,1374,5.28,5.32,3.27
"37064",0.43,"Premium","F","VS2",59.8,58,968,4.94,4.89,2.94
"31528",0.34,"Premium","E","SI1",61.9,59,765,4.48,4.44,2.76
"13830",1.25,"Very Good","H","SI2",61.6,54,5637,6.85,6.95,4.25
"13882",1.31,"Very Good","I","SI2",60.9,58,5652,7.03,7.07,4.29
"39725",0.58,"Very Good","J","VS2",62.8,57,1090,5.28,5.33,3.33
"23569",1.5,"Good","G","VS2",63.3,62,11577,7.08,7.2,4.52
"17030",1.11,"Ideal","E","SI1",61.1,57,6800,6.64,6.72,4.08
"52367",0.9,"Good","I","SI2",64,55,2503,6.11,6.05,3.89
"13529",1.1,"Ideal","I","VS1",61.7,57,5544,6.65,6.62,4.09
"33544",0.35,"Ideal","E","VS1",61.9,56,829,4.51,4.53,2.8
"49770",0.5,"Ideal","F","VVS2",61.6,56,2160,5.11,5.08,3.14
"39372",0.5,"Very Good","H","VS2",61.8,63,1074,5.05,5.08,3.13
